item_id,task,context,context_without_dialog_prefix,dialog_prefix,dialog,true_intention,incorrect_literal_intention,original_prompt_str,person1,person2,options_dict,intention_pronoun,turn1_true_intention_dialog,turn1_literal_intention_dialog,turn2_response_from_literal_intention,turn2_response_from_true_intention,,
23,irony,"The Jones' had hired a new gardener. After a week the lawn was looking particularly unkempt. John remarked to his wife, ",The Jones' had hired a new gardener. After a week the lawn was looking particularly unkempt. ,"John remarked to his wife, ","""He does such a good job!"" ",John is unhappy with the new gardener.,ohn is very happy with the new gardener. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: The Jones' had hired a new gardener. After a week the lawn was looking particularly unkempt. John remarked to his wife, ""He does such a good job!"" What did John want to convey?
Options:
1) He is happy with the new gardener.
2) He likes daisies.
3) He likes thrillers. 
4) He is unhappy with the new gardener.
Answer: ",John,His wife,"{""'IncorrectLiteral'"": 'He is happy with the new gardener.', ""'IncorrectAssociate'"": 'He likes daisies.', ""'IncorrectNonSequitur'"": 'He likes thrillers. ', ""'CorrectNonLiteral'"": 'He is unhappy with the new gardener.'}",he,"""I'm not very satisfied with the new gardener.""","""I'm extremely pleased with our new gardener.""","""That's great to hear, John.""","""Then we should tell him our expectations or hire someone else.""",,
24,irony,"It was the night before her exam and Tilly had read none of the course texts. Her brother said, ",It was the night before her exam and Tilly had read none of the course texts. ,"Her brother said, ","""I see your revision is going well.""  ",Her brother thinks Tilly is unready for the exam.,Her brother thinks Tilly is ready for the exam. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: It was the night before her exam and Tilly had read none of the course texts. Her brother said, ""I see your revision is going well.""  What did he want to convey?
Options:
1) Tilly cannot find the sneakers.
2) Tilly is unready for the exam.
3) Tilly is ready for the exam.
4) Tilly cannot find the textbook.
Answer: ",Tilly's brother,Tilly,"{""'IncorrectNonSequitur'"": 'Tilly cannot find the sneakers.', ""'CorrectNonLiteral'"": 'Tilly is unready for the exam.', ""'IncorrectLiteral'"": 'Tilly is ready for the exam.', ""'IncorrectAssociate'"": 'Tilly cannot find the textbook.'}",Tilly,"""You're not prepared enough for the exam yet.""","""I think you're ready for the exam.""","""Thank you for believing in my preparation for the exam.""","""Yes, I know I should have prepared better for this exam.""",,
25,irony,"Barb and Tony went to a high school reunion. Barb was running late and came underdressed. Tony commented, ",Barb and Tony went to a high school reunion. Barb was running late and came underdressed. ,"Tony commented, ","""Classy outfit."" ",He thought that her dress was not appropriate for the occasion.,Tony really liked her choice of dress. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide what the character in the story is trying to convey. The answer options are 1, 2, 3, or 4.

Scenario: Barb and Tony went to a high school reunion. Barb was running late and came underdressed. Tony commented, ""Classy outfit."" What did Tony want to convey?
Options:
1) He thought that Barb forgot to call the cab.
2) He thought that Barb forgot her purse in the hall.
3) He thought that her dress was not appropriate for the occasion.
4) He liked her choice of dress.
Answer: ",Tony,Barb,"{""'IncorrectNonSequitur'"": 'He thought that Barb forgot to call the cab.', ""'IncorrectAssociate'"": 'He thought that Barb forgot her purse in the hall.', ""'CorrectNonLiteral'"": 'He thought that her dress was not appropriate for the occasion.', ""'IncorrectLiteral'"": 'He liked her choice of dress.'}",he,"""I don't think your dress is quite suitable for this particular occasion.""","""I really liked your choice of dress.""","""Thank you, Tony, I'm glad you liked it.""","""I understand, but I had no time to change into something more fitting.""",,
1,maxims,"Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds:","Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" ",Bob responds:," ""I cannot wait for our trip to Japan next week."" ",He disliked the talk that his boss gave but does not want to criticize his boss.  ,He is excited about the upcoming trip to Japan and does not want to talk about anything else. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Bob is having a lunch meeting with his boss, Mr. James. Mr. James asks Bob: ""Did you like the presentation that I gave at the board meeting yesterday?"" Bob responds: ""I cannot wait for our trip to Japan next week."" Why has Bob responded like this?
Options:
1) He is excited about the upcoming trip to Japan and does not want to talk about anything else.
2) He wants to avoid going to Japan next week and wants to discuss it with his boss. 
3) He disliked the talk that his boss gave but does not want to criticize his boss.  
4) He liked the talk that his boss gave but does not want to tell him about it.
Answer: ",Bob,Mr. James,"{""'IncorrectLiteral'"": 'He is excited about the upcoming trip to Japan and does not want to talk about anything else.', ""'IncorrectAssociate'"": 'He wants to avoid going to Japan next week and wants to discuss it with his boss. ', ""'CorrectNonLiteral'"": 'He disliked the talk that his boss gave but does not want to criticize his boss.  ', ""'IncorrectNonLiteral'"": 'He liked the talk that his boss gave but does not want to tell him about it.'}",he,"""I wasn't particularly fond of the presentation given by our superior, but I don't want to come off as critical of him.""","""Indeed, I am so thrilled about the impending journey to Japan, I can't seem to focus on discussing anything else!""","That's great, Bob! Let's continue discussing your upcoming trip to Japan.","""I appreciate your honesty, Bob. It's important for me to receive feedback for improvements.""",,
2,maxims,"Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds,  ","Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" ","Alex responds, ","""Have you noticed that I painted the walls?"" ",Alex thinks that Richard's painting is mediocre.,Alex is proud of the painting job that he did. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Richard came to visit his friend, Alex. Alex is an artist. Richard brought one of his artworks to Alex and asked Alex: ""What do you think of my painting?"" Alex responds, ""Have you noticed that I painted the walls?"" Why has Alex responded like this?
Options:
1) Alex is proud of the painting job that he did.
2) Alex is afraid that Richard will become a better painter than he is. 
3) Alex wants Richards to help him paint the walls.
4) Alex thinks that Richard's painting is mediocre.
Answer: ",Alex,Richard,"{""'IncorrectLiteral'"": 'Alex is proud of the painting job that he did.', ""'IncorrectAssociate'"": 'Alex is afraid that Richard will become a better painter than he is. ', ""'IncorrectNonLiteral'"": 'Alex wants Richards to help him paint the walls.', ""'CorrectNonLiteral'"": ""Alex thinks that Richard's painting is mediocre.""}",Alex,"""I believe your painting is fairly ordinary, to be honest.""","""I'm really proud of my own painting job I've done.""","""That's great to hear, Alex. Your hard work really paid off.""","I appreciate your honesty, Alex.",,
3,maxims,"Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds, 
","Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" 
","Jane responds, ","""The latte is unbelievable here."" ",She does not want to discuss the topic that Leslie has raised.,Jane thinks that it is the best latte in the town. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Leslie and Jane are chatting at a coffee shop. Leslie asks, ""Who was that man that I saw you with last night?"" Jane responds, ""The latte is unbelievable here."" Why has Jane responded like this?
Options:
1) A coffee break is not a good time to discuss men.
2) She thinks that it is the best latte in the town.
3) She does not want to discuss the topic that Leslie has raised.
4) The man who Leslie saw makes unbelievable lattes.
Answer: ",Jane,Leslie,"{""'IncorrectAssociate'"": 'A coffee break is not a good time to discuss men.', ""'IncorrectLiteral'"": 'She thinks that it is the best latte in the town.', ""'CorrectNonLiteral'"": 'She does not want to discuss the topic that Leslie has raised.', ""'IncorrectNonLiteral'"": 'The man who Leslie saw makes unbelievable lattes.'}",she,"""I'm sorry, I'd rather not delve into that subject you've just brought up.""","""I truly believe that this is the town's best latte.""","""I will have to try it then, Jane.""","""Okay Jane, no problem. Let's chat about something else then.""",,
4,maxims,"Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" 
Her husband replies:","Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" 
",Her husband replies:," ""Beer and chips would be awesome. Thanks!"" ",Her husband wants to watch the game.,Her husband wants beer and chips and is thankful for her help.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Kelsey is in a bad mood. Every minor thing irritates her. When she sees her husband watching a football game, she yells: ""Can you turn off the TV?"" Her husband replies: ""Beer and chips would be awesome. Thanks!"" Why has Kelsey's husband responded like this?
Options:
1) He is excited about seeing his wife. 
2) He pretends that he did not understand his wife's comment because he wants to watch the game.
3) He is thankful for her offer of beer and chips.
4) He is happy to turn off the TV right away and to spend more time with his wife.
Answer: ",Kelsey's husband,Kelsey,"{""'IncorrectAssociate'"": 'He is excited about seeing his wife. ', ""'CorrectNonLiteral'"": ""He pretends that he did not understand his wife's comment because he wants to watch the game."", ""'IncorrectLiteral'"": 'He is thankful for her offer of beer and chips.', ""'IncorrectNonLiteral'"": 'He is happy to turn off the TV right away and to spend more time with his wife.'}",he,"""I want to watch the game, dear""","""Could you please grab me some beer and chips? I really appreciate your help.""","""Sure, I will grab you some beer and chips.""","""Please, I need some quiet right now.""",,
5,maxims,"Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says:","Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?""", Mark says:," ""She has excellent handwriting and is always dressed so nicely."" ",Mark's opinion of Jane as a financial manager is very low.,Mark's opinion of Jane as a financial manager is very high. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mark is discussing Jane, a senior financial manager who he hired, with his colleague John. Mark asks: ""How is Jane managing her new position?"" Mark says: ""She has excellent handwriting and is always dressed so nicely."" Why has Mark responded like this?
Options:
1) Mark's opinion of Jane as a financial manager is very low.
2) Mark is fond of people who have good handwriting.
3) Mark's opinion of Jane as a financial manager is very high.
4) Mark needs to get some new clothes.
Answer: ",Mark,John,"{""'CorrectNonLiteral'"": ""Mark's opinion of Jane as a financial manager is very low."", ""'IncorrectNonLiteral'"": 'Mark is fond of people who have good handwriting.', ""'IncorrectLiteral'"": ""Mark's opinion of Jane as a financial manager is very high."", ""'IncorrectAssociate'"": 'Mark needs to get some new clothes.'}",he,"""I have a very low opinion of Jane as a financial manager.""","""I hold Jane in very high regard as a financial manager.""","It sounds like you think Jane is a highly competent financial manager, Mark.",Jane appears to be struggling in managing her new role as per your opinion.,,
6,maxims,"Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds:","Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" ",Her mom responds:," ""Somewhere in France.""", Lucy's mom does not know where exactly Vincent lives.,Lucy's mom knows that Vincent lives somewhere in France. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Lucy discusses her trip to Paris with her mom. Lucy says: ""I'd like to visit Vincent when I am in Paris. Where does he live?"" Her mom responds: ""Somewhere in France."" Why has Lucy's mom responded like this?
Options:
1) Lucy's mom is jealous that she is not going to Paris.
2) Lucy's mom is afraid that Lucy will go to France.
3) Lucy's mom does not know where exactly Vincent lives.
4) Lucy's mom knows that Vincent lives somewhere in France.
Answer: ",Lucy's mom,Lucy,"{""'IncorrectNonLiteral'"": ""Lucy's mom is jealous that she is not going to Paris."", ""'IncorrectAssociate'"": ""Lucy's mom is afraid that Lucy will go to France."", ""'CorrectNonLiteral'"": ""Lucy's mom does not know where exactly Vincent lives."", ""'IncorrectLiteral'"": ""Lucy's mom knows that Vincent lives somewhere in France.""}",she,"""I'm not exactly sure where Vincent lives, dear.""","""I'm sure Vincent lives in France, dear.""","""Okay, mom, Vincent lives in France.""","""Okay Mom, I will ask Vincent directly for his address.""",,
7,maxims,"Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds:","Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" ",She responds:," ""Some food."" ",The food at the wedding was mediocre.,There was some food at the wedding. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Luke missed a wedding reception and wants his wife Melanie to tell him about it. He asks: ""What were you served at the wedding?"" She responds: ""Some food."" Why has Melanie responded like this?
Options:
1) There was not a lot of food at the wedding.
2) The wedding is not about food.
3) The food at the wedding was mediocre.
4) The food at the wedding was outstanding.
Answer: ",Melanie,Luke,"{""'IncorrectLiteral'"": 'There was not a lot of food at the wedding.', ""'IncorrectAssociate'"": 'The wedding is not about food.', ""'CorrectNonLiteral'"": 'The food at the wedding was mediocre.', ""'IncorrectNonLiteral'"": 'The food at the wedding was outstanding.'}",she,"""The food at the wedding wasn't really that impressive""","""There was a very little food available at the wedding""","So, there was a small amount of food at the wedding.","""Oh, so the food wasn't that good then?""",,
8,maxims,"Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds, ","Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" ","Mary responds, ","""In a cup."" ",Mary is irritated with Ken.,Mary wants Ken to serve her tea in a cup. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mary and Ken are having breakfast. Ken asks Mary: ""How would you like your tea, dear?"" Mary responds, ""In a cup."" Why has Mary responded like this?
Options:
1) Mary wants Ken to serve her tea in a cup.
2) Mary is irritated with Ken.
3) Mary is proud of the new cups that she got from Ken for her birthday.
4) Mary wants Ken to wash a cup that she sees in the sink.  
Answer: ",Mary,Ken,"{""'IncorrectLiteral'"": 'Mary wants Ken to serve her tea in a cup.', ""'CorrectNonLiteral'"": 'Mary is irritated with Ken.', ""'IncorrectAssociate'"": 'Mary is proud of the new cups that she got from Ken for her birthday.', ""'IncorrectNonLiteral'"": 'Mary wants Ken to wash a cup that she sees in the sink.  '}",Mary,"""You're seriously getting on my nerves right now.""","""Could you please serve me some tea in that cup?""","""Of course, Mary, I will serve you some tea in a cup.""","""I'm sorry, I didn't realize I was annoying you.""",,
9,maxims,"George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds:","George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" 
",Cindy responds:," ""A pair of shoes."" ",Cindy does not know what type of shoes she wants to buy.,Cindy does not plan to buy anything but shoes in this store. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: George and Cindy are about to enter their favorite shoe shop in the mall. George asks Cindy: ""What would you like to buy?"" Cindy responds: ""A pair of shoes."" Why has Cindy responded like this?
Options:
1) Cindy does not plan to buy anything but shoes in this store.
2) Cindy is excited about going shopping.
3) Cindy has an obsession with shoes and buys them on every occasion. 
4) Cindy does not know what type of shoes she wants to buy.
Answer: ",Cindy,George,"{""'IncorrectLiteral'"": 'Cindy does not plan to buy anything but shoes in this store.', ""'IncorrectAssociate'"": 'Cindy is excited about going shopping.', ""'IncorrectNonLiteral'"": 'Cindy has an obsession with shoes and buys them on every occasion. ', ""'CorrectNonLiteral'"": 'Cindy does not know what type of shoes she wants to buy.'}",Cindy,"""I'm honestly not sure what type of shoes I want to buy.""","""I'm not planning on buying anything from this store except for shoes.""","Okay Cindy, let's focus on finding you some shoes then.","""Alright, let's look around and see what catches your eye.""",,
10,maxims,"Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds:","Mike comes home from school. His mom asks him: ""What did you do at school today?"" ",Mike responds:," ""some schoolwork.""",He does not want to talk about school with his mom.,He has been doing lots of schoolwork at school. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mike comes home from school. His mom asks him: ""What did you do at school today?"" Mike responds: ""some schoolwork."" Why has Mike responded like this?
Options:
1) He is upset that his dad is not at home.
2) He is too excited to talk about this at the moment.
3) He has been doing lots of schoolwork at school.
4) He does not want to talk about school with his mom.
Answer: ",Mike,Mike's mom,"{""'IncorrectNonLiteral'"": 'He is upset that his dad is not at home.', ""'IncorrectAssociate'"": 'He is too excited to talk about this at the moment.', ""'IncorrectLiteral'"": 'He has been doing lots of schoolwork at school.', ""'CorrectNonLiteral'"": 'He does not want to talk about school with his mom.'}",he,"""I really don't feel like discussing school right now, Mom.""","""I've been doing a bunch of schoolwork while at school.""","That's good, Mike, keep up the hard work.","""Alright, Mike. We can talk about it when you're ready.""",,
11,maxims,"Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" 
Mark responds:","Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" 
",Mark responds:," ""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place."" ",Mark's wife has little experience with cooking.,Mark's wife has been doing some scientific experiments instead of cooking. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mark, who is a newlywed, is talking to his mom over the phone. His mom asks: ""Did Julie cook your dinner last night?"" Mark responds: ""Well, she placed a number of edible substances into a pot and then heated them until various chemical reactions took place."" Why has Mark responded like this?
Options:
1) Mark's wife has little experience with cooking.
2) Mark's wife has a lot of experience with cooking.
3) Mark's wife has been angry with Mark because he did not help her with dinner.  
4) Mark's wife has been doing some scientific experiments instead of cooking.
Answer: ",Mark,Mark's mom,"{""'CorrectNonLiteral'"": ""Mark's wife has little experience with cooking."", ""'IncorrectAssociate'"": ""Mark's wife has a lot of experience with cooking."", ""'IncorrectNonLiteral'"": ""Mark's wife has been angry with Mark because he did not help her with dinner.  "", ""'IncorrectLiteral'"": ""Mark's wife has been doing some scientific experiments instead of cooking.""}",he,"""My wife isn't really a whiz in the kitchen, she doesn't have much experience with cooking.""","""My wife has been all caught up in her scientific experiments lately. She's barely had time to do any cooking!""","It's wonderful that she's so passionate about her scientific work, Mark.","""Oh, I see, Julie is still learning to cook.""",,
12,maxims,"Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" 
Marcie responds:","Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" 
",Marcie responds:," ""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides."" ",Marcie thinks that her husband's expectations about breakfast are too high.,Marcie wants to describe in detail how she prepared the breakfast items.,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Lenny comes to the kitchen and asks his wife, Marcie: ""What will we have for breakfast?"" Marcie responds: ""A hard-boiled egg cooked in hot water and toast that is toasted evenly on both sides."" Why has Marcie responded in such a way?
Options:
1) Marcie thinks that breakfast is the main meal of the day.
2) Marcie thinks that her husband's expectations about breakfast are too high.
3) Marcie wants Lenny to know how his breakfast was made.
4) Marcie is really good at cooking eggs and making toast.
Answer: ",Marcie,Lenny,"{""'IncorrectAssociate'"": 'Marcie thinks that breakfast is the main meal of the day.', ""'CorrectNonLiteral'"": ""Marcie thinks that her husband's expectations about breakfast are too high."", ""'IncorrectLiteral'"": 'Marcie wants Lenny to know how his breakfast was made.', ""'IncorrectNonLiteral'"": 'Marcie is really good at cooking eggs and making toast.'}",Marcie,"""Listen, I feel like your expectations about breakfast are just a bit too high.""","""Let me walk you through how I made the breakfast items, Lenny. First, I made the fluffy scrambled eggs. I cracked six large eggs into a bowl and whisked them until the yolks and whites combined for a smooth mixture. Next, I warmed a non-stick frying pan over medium heat, added a small bit of butter, and as soon as it melted, I added the eggs. I stirred gently and constantly with a spatula to get those beautiful, soft curds.","Thank you, Marcie, for explaining your process in preparing the fluffy scrambled eggs.","Sorry, I apologize for having a high expectation for breakfast.",,
14,maxims,"Mike and Melissa are arguing about the state of secondary education in their state. Mike states: ""Standardized test scores are up 42% in our schools."" Melissa responds:","Mike and Melissa are arguing about the state of secondary education in their state. Mike states: ""Standardized test scores are up 42% in our schools."" ",Melissa responds:," ""And 47% of the kids didn't use the right pencil, 6% were chewing gum during the exam, and 32% yawned while completing their exams."" ",Melissa thinks that statistical information is useless in this debate.,Melissa thinks that statistical information is of great use in this debate. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Mike and Melissa are arguing about the state of secondary education in their state. Mike states: ""Standardized test scores are up 42% in our schools."" Melissa responds: ""And 47% of the kids didn't use the right pencil, 6% were chewing gum during the exam, and 32% yawned while completing their exams."" Why has Melissa responded like this?
Options:
1) Melissa thinks that kids attending schools lack subject knowledge. 
2) Melissa thinks that statistical information is useless in this debate.
3) Melissa is very knowledgeable about the system of secondary education.
4) Melissa thinks that statistical information is of great use in this debate.
Answer: ",Melissa,Mike,"{""'IncorrectNonLiteral'"": 'Melissa thinks that kids attending schools lack subject knowledge. ', ""'CorrectNonLiteral'"": 'Melissa thinks that statistical information is useless in this debate.', ""'IncorrectAssociate'"": 'Melissa is very knowledgeable about the system of secondary education.', ""'IncorrectLiteral'"": 'Melissa thinks that statistical information is of great use in this debate.'}",Melissa,"""I'm of the opinion that in this debate, statistical information doesn't hold any value, Mike.""","""I truly believe that statistical information could prove to be extremely valuable in this debate.""","I agree with you, Melissa, statistical information can provide substantial evidence in this debate.","""Understood, Melissa, let's then focus on qualitative aspects of our education system.""",,
15,maxims,"Rosy notes to her friend Dan: ""Those strangers at the other end of the subway car are nice.""  
Dan replies:","Rosy notes to her friend Dan: ""Those strangers at the other end of the subway car are nice.""  
",Dan replies:," ""Yeah, I bet they have only sweet dreams, eat organic food, do yoga every morning, plant trees, feed homeless, and read a lot of good books.""",He thinks that Rosy has no reason to believe that the strangers are nice.,Dan thinks he knows these people and their lifestyle very well. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Rosy notes to her friend Dan: ""Those strangers at the other end of the subway car are nice."" Dan replies: ""Yeah, I bet they have only sweet dreams, eat organic food, do yoga every morning, plant trees, feed homeless, and read a lot of good books."" Why has Dan responded like this?
Options:
1) He knows these people and their lifestyle very well.
2) He thinks that people who ride subways have many bad habits.
3) He thinks that Rosy has no reason to believe that the strangers are nice.
4) He thinks that people who ride subways have many good habits.
Answer: ",Dan,Rosy,"{""'IncorrectLiteral'"": 'He knows these people and their lifestyle very well.', ""'IncorrectNonLiteral'"": 'He thinks that people who ride subways have many bad habits.', ""'CorrectNonLiteral'"": 'He thinks that Rosy has no reason to believe that the strangers are nice.', ""'IncorrectAssociate'"": 'He thinks that people who ride subways have many good habits.'}",he,"""I believe you have no grounds to assume that these strangers are kind, Rosy.""","""I have a deep understanding of these people and the way they live, Rosy.""","That's great, Dan. Your understanding will be very beneficial.","""I was just sharing my first impression, Dan.""",,
16,maxims,Berta often forgets to return money that she borrows from her friends. One day Berta asks her friend Freddie for $500. Freddie responds:,Berta often forgets to return money that she borrows from her friends. One day Berta asks her friend Freddie for $500., Freddie responds:," ""Of course, but only when I fly to space."" ",Freddie will never give Berta any money.,Freddie can give Berta some money that he will get for his space expedition. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Berta often forgets to return money that she borrows from her friends. One day Berta asks her friend Freddie for $500. Freddie responds: ""Of course, but only when I fly to space."" Why has Freddie responded like this?
Options:
1) Freddie will never give Berta any money.
2) Freddie can give Berta some money that he will get for his space expedition.
3) Freddie considers giving the money to Berta. 
4) Freddie is ready to give money to Berta without any questions.
Answer: ",Freddie,Berta,"{""'CorrectNonLiteral'"": 'Freddie will never give Berta any money.', ""'IncorrectLiteral'"": 'Freddie can give Berta some money that he will get for his space expedition.', ""'IncorrectAssociate'"": 'Freddie considers giving the money to Berta. ', ""'IncorrectNonLiteral'"": 'Freddie is ready to give money to Berta without any questions.'}",he,"""I'm really sorry, but I'm not going to be able to lend you any money.""","""Once I receive the money from my space expedition, Berta, I would be more than happy to share some of it with you.""","Thank you Freddie, I understand you cannot lend me your money.","I understand, Freddie, it's your money after all.",,
17,maxims,"Lars and Katy are discussing their CEO. Lars says: ""People regard our CEO Mr. Smith as a real intellectual."" Katy responds:","Lars and Katy are discussing their CEO. Lars says: ""People regard our CEO Mr. Smith as a real intellectual."" ",Katy responds:," ""Sure, he is regarded as an intellectual by kindergarteners.""",Katy doubts that Mr. Smith is a smart individual.,Katy agrees that Mr. Smith is a smart individual. ,"Task: You will read short stories that describe everyday situations. Each story will be followed by a multiple-choice question. Read each story and choose the best answer. Your task is to decide why the character in the story responds in a certain way. The answer options are 1, 2, 3, or 4.

Scenario: Lars and Katy are discussing their CEO. Lars says: ""People regard our CEO Mr. Smith as a real intellectual."" Katy responds: ""Sure, he is regarded as an intellectual by kindergarteners."" Why has Katy responded like this?
Options:
1) Katy thinks that Mr. Smith works at a kindergarten.
2) Katy knows that Mr. Smith's kids are kindergarteners.
3) Katy doubts that Mr. Smith is a smart individual.
4) Katy agrees that Mr. Smith is a smart individual.
Answer: ",Katy,Lars,"{""'IncorrectNonLiteral'"": 'Katy thinks that Mr. Smith works at a kindergarten.', ""'IncorrectAssociate'"": ""Katy knows that Mr. Smith's kids are kindergarteners."", ""'CorrectNonLiteral'"": 'Katy doubts that Mr. Smith is a smart individual.', ""'IncorrectLiteral'"": 'Katy agrees that Mr. Smith is a smart individual.'}",Katy,"""I'm not so sure about Mr. Smith's intelligence,"".","""Yes, I do concur. Mr. Smith is indeed a smart individual.""","""I'm glad to hear that you also recognize Mr. Smith's intelligence, Katy.""","""It's interesting that you question Mr. Smith's intellect, Katy.""",,
